index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
HybridPGMLIPP,5392161,5365706,5369223,12688451648,1.54891,1.60911,1.5459,InterpolationSearch,128
LIPP,11712952,8006744,5308940,12701685808,1.48549,4.69765,4.75099
DynamicPGM,4564282,4664643,4430489,1700504708,0.771362,0.776883,0.823175,BinarySearch,512
DynamicPGM,5286912,5227935,5224579,1705226068,0.81503,0.821759,0.805347,BinarySearch,64
DynamicPGM,5185854,4877639,4915915,1702558148,0.791445,0.884098,0.844984,BinarySearch,128
