index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
HybridPGMLIPP,7447638,7440507,7483817,20588534880,1.48925,1.54564,1.5595,InterpolationSearch,128
LIPP,15801893,10413799,7581040,20602223600,0.973946,3.74167,3.67068
DynamicPGM,4754085,4861688,4819463,1700920448,0.947503,0.900992,0.900896,BinarySearch,256
DynamicPGM,4723903,4814973,4879903,1703719948,0.983872,0.938512,0.959717,BinarySearch,64
DynamicPGM,4613433,4832225,4946324,1701834188,0.984285,0.883069,0.899263,BinarySearch,128
